nama_transaksi,nominal,tanggal,bulan,hari_dalam_seminggu,adalah_weekend,kategori
Bayar air PDAM,496500,2024-09-10,9,1,0,Tagihan
Tiket kereta Bandung,160500,2024-09-28,9,5,1,Transportasi
Beli paracetamol,100000,2024-10-12,10,5,1,Kesehatan
Konsultasi dokter umum,293500,2024-06-19,6,2,0,Kesehatan
Kursus bahasa Inggris,241500,2024-09-01,9,6,1,Pendidikan
Vitamin C Redoxon,60500,2024-04-05,4,4,0,Kesehatan
Beli telur & sayur,8000,2024-02-15,2,3,0,Makanan & Minuman
Beli flashcard,220000,2024-10-17,10,3,0,Pendidikan
Beli kopi Kenangan,83000,2024-08-31,8,5,1,Makanan & Minuman
Beli air mineral galon,101000,2024-06-24,6,0,0,Makanan & Minuman
Bayar air PDAM,400500,2024-11-18,11,0,0,Tagihan
KFC,147500,2024-05-13,5,0,0,Makanan & Minuman
Alfamart kebutuhan rumah,578500,2024-01-25,1,3,0,Belanja
Steam game,475000,2024-05-22,5,2,0,Hiburan
Suplemen olahraga,215000,2024-10-19,10,5,1,Kesehatan
Iuran BPJS,290500,2024-07-24,7,2,0,Kesehatan
Konsultasi dokter umum,201000,2024-02-12,2,0,0,Kesehatan
Tiket busway,180500,2024-01-06,1,5,1,Transportasi
Ojek online kampus,97000,2024-11-29,11,4,0,Transportasi
Parkir mall,35000,2024-09-13,9,4,0,Transportasi
Bakso solo,96000,2024-05-18,5,5,1,Makanan & Minuman
Kursus online Udemy,52000,2024-12-12,12,3,0,Pendidikan
Kursus bahasa Inggris,361500,2024-12-06,12,4,0,Pendidikan
Top up OVO,944000,2024-08-09,8,4,0,Tagihan
Tiket kereta Bandung,62000,2024-04-07,4,6,1,Transportasi
Fotokopi materi kuliah,371500,2024-01-28,1,6,1,Pendidikan
Tol Jakarta Bekasi,81500,2024-10-13,10,6,1,Transportasi
Klinik gigi,277500,2024-11-09,11,5,1,Kesehatan
Beli air mineral galon,96500,2024-01-11,1,3,0,Makanan & Minuman
Bayar listrik PLN,609500,2024-01-09,1,1,0,Tagihan
Nonton bioskop CGV,386500,2024-05-31,5,4,0,Hiburan
Spotify premium,384000,2024-01-07,1,6,1,Hiburan
Beli tas ransel,98500,2024-04-27,4,5,1,Belanja
Beli masker,292500,2024-08-04,8,6,1,Kesehatan
Beli paracetamol,273500,2024-12-25,12,2,0,Kesehatan
Beli masker,188500,2024-01-05,1,4,0,Kesehatan
Beli alat tulis,265000,2024-05-12,5,6,1,Pendidikan
